COMPUTED FEM SOLUTION:
phi[997] = -2.167410
phi[998] = -2.144542
phi[999] = -2.122168
phi[1000] = -2.100348
phi[1001] = -2.079152
phi[1002] = -2.058652
phi[1003] = -2.038912
phi[1004] = -2.017529
phi[1005] = -1.995948
phi[1006] = -1.974102
phi[1007] = -1.951960
phi[1008] = -1.929514
phi[1009] = -1.906762
phi[1010] = -1.883709
phi[1011] = -1.860359
phi[1012] = -1.836723
phi[1013] = -1.812806
phi[1014] = -1.788618
phi[1015] = -1.764166
phi[1016] = -1.739456
phi[1017] = -1.714496
phi[1018] = -1.689291
phi[1019] = -1.663847
phi[1020] = -1.638169
phi[1021] = -1.612262
phi[1022] = -1.586130
phi[1023] = -1.559776
phi[1024] = -1.533205
phi[1025] = -1.506419
phi[1026] = -1.479421
phi[1027] = -1.452214
phi[1028] = -1.424800
phi[1029] = -1.397180
phi[1030] = -1.369358
phi[1031] = -1.341333
phi[1032] = -1.313108
phi[1033] = -1.284683
phi[1034] = -1.256059
phi[1035] = -1.227238
phi[1036] = -1.198219
phi[1037] = -1.169004
phi[1038] = -1.139591
phi[1039] = -1.109982
phi[1040] = -1.080176
phi[1041] = -1.050172
phi[1042] = -1.019971
phi[1043] = -0.989572
phi[1044] = -0.958974
phi[1045] = -0.928176
phi[1046] = -0.897177
phi[1047] = -0.865976
phi[1048] = -0.834571
phi[1049] = -0.802962
phi[1050] = -0.771146
phi[1051] = -0.739122
phi[1052] = -0.706887
phi[1053] = -0.674440
phi[1054] = -0.641779
phi[1055] = -0.608900
phi[1056] = -0.575801
phi[1057] = -0.542480
phi[1058] = -0.508933
phi[1059] = -0.475156
phi[1060] = -0.441147
phi[1061] = -0.406902
phi[1062] = -0.372416
phi[1063] = -0.337686
phi[1064] = -0.302707
phi[1065] = -0.267473
phi[1066] = -0.231981
phi[1067] = -0.196223
phi[1068] = -0.160195
phi[1069] = -0.123890
phi[1070] = -0.087300
phi[1071] = -0.050420
phi[1072] = -0.013241
phi[1073] = 0.024246
phi[1074] = 0.062049
phi[1075] = 0.100178
phi[1076] = 0.138644
phi[1077] = 0.177459
phi[1078] = 0.216634
phi[1079] = 0.256183
phi[1080] = 0.296122
phi[1081] = 0.336467
phi[1082] = 0.377235
phi[1083] = 0.418447
phi[1084] = 0.460125
phi[1085] = 0.502293
phi[1086] = 0.544980
phi[1087] = 0.588217
phi[1088] = 0.632041
phi[1089] = 0.676491
phi[1090] = 0.721617
phi[1091] = 0.767476
phi[1092] = 0.814133
phi[1093] = 0.861670
phi[1094] = 0.910185
phi[1095] = 0.959803
phi[1096] = 1.010680
phi[1097] = 1.063019
phi[1098] = 1.117082
phi[1099] = 1.173196
phi[1100] = 1.231724
phi[1101] = 1.292901
phi[1102] = 1.356360
phi[1103] = 1.420185
phi[1104] = 1.473988
phi[1105] = 1.527200
phi[1106] = 1.579040
phi[1107] = 1.629484
phi[1108] = 1.678710
phi[1109] = 1.726914
phi[1110] = 1.774262
phi[1111] = 1.820889
phi[1112] = 1.866900
phi[1113] = 1.912380
phi[1114] = 1.957398
phi[1115] = 2.002010
phi[1116] = 2.046263
phi[1117] = 2.090196
phi[1118] = 2.133842
phi[1119] = 2.177230
phi[1120] = 2.220383
phi[1121] = 2.263324
phi[1122] = 2.306071
phi[1123] = 2.348640
phi[1124] = 2.391047
phi[1125] = 2.433303
phi[1126] = 2.475422
phi[1127] = 2.517412
phi[1128] = 2.559284
phi[1129] = 2.601045
phi[1130] = 2.642705
phi[1131] = 2.684269
phi[1132] = 2.725744
phi[1133] = 2.767137
phi[1134] = 2.808452
phi[1135] = 2.849694
phi[1136] = 2.890868
phi[1137] = 2.931979
phi[1138] = 2.973029
phi[1139] = 3.014023
phi[1140] = 3.054965
phi[1141] = 3.095856
phi[1142] = 3.136701
phi[1143] = 3.177501
phi[1144] = 3.218260
phi[1145] = 3.258979
phi[1146] = 3.299661
